1.2	1611.42
1.32	1776.2
1.49	1996.6200000000001
1.65	2204.2000000000003
1.84	2375.4
2.05	2610.7999999999997
2.28	2653.6
2.54	2610.7999999999997
2.83	2503.7999999999997
3.16	2311.2000000000003
3.49	1928.1399999999999
3.41	1936.7
3.88	2088.64
4.4	2247.0
5.0	2311.2000000000003
5.7	2289.7999999999997
6.45	2332.6
7.35	2396.7999999999997
8.35	2268.4
9.5	2182.7999999999997
10.8	2084.36
12.29	2037.28
12.31	2311.2000000000003
12.94	2332.6
13.6	2289.7999999999997
14.35	2204.2000000000003
15.1	2129.2999999999997
15.9	2047.98
16.7	2047.98
17.6	2088.64
18.5	2071.52
19.5	1874.6399999999999
20.5	1592.16
20.5	1669.2
21.6	1446.6399999999999
22.7	1341.78
23.9	1489.44
25.1	1626.3999999999999
26.4	1752.6599999999999
27.8	1821.1399999999999
29.2	1812.5800000000002
30.7	1776.2
32.4	1709.8600000000001
34.0	1615.7
