Number Label Degrees_Longitude Degrees_Latitude
166 SKA102 21.4363558 -30.71874 
167 SKA103 21.4402166 -30.719265 
168 SKA104 21.4472659 -30.720233 
169 SKA105 21.533032 -30.723924 
170 SKA106 21.4339794 -30.721009 
171 SKA107 21.3974997 -30.722426 
172 SKA108 21.4350033 -30.724996 
173 SKA109 21.4376456 -30.729515 
174 SKA110 21.5105276 -30.734134 
175 SKA111 21.4424172 -30.734251 
176 SKA112 21.1844568 -30.735364 
177 SKA113 21.3917083 -30.736333 
178 SKA114 21.4498209 -30.738661 
179 SKA115 21.4908526 -30.736857 
180 SKA116 21.4602722 -30.742016 
181 SKA117 21.4728481 -30.736715 
182 SKA118 21.3946819 -30.753799 
183 SKA119 21.3936716 -30.776987 
184 SKA120 21.9307624 -30.781482 
185 SKA121 21.4064274 -30.80286 
186 SKA122 21.1403739 -30.808077 
187 SKA123 21.4255118 -30.839095 
188 SKA124 21.8087982 -30.850668 
189 SKA125 21.4607747 -30.865551 
190 SKA126 21.5267438 -30.879119 
191 SKA127 21.6973379 -30.883676 
192 SKA128 21.6024953 -30.890232 
193 SKA129 21.1131812 -30.907047 
194 SKA130 21.078446 -31.040003 
195 SKA131 21.1654996 -31.187658 
196 SKA132 21.2740177 -31.351808 
197 SKA133 21.4678033 -31.524423 
