1	m001	855.5560839243678
2	m002	1084.0955781484397
3	m003	1404.7655275386708
4	m004	1848.5994322729841
5	m005	2394.3260247927806
6	m006	3109.835098715043
7	m007	3954.4637357295364
8	m008	5000.197126311022
9	m009	5986.330447118668
10	m010	7549.3622001398235
11	m011	9321.830376165402
12	m012	11088.697670006157
13	m013	13693.886390006308
14	m014	16340.50424687378
15	m015	19481.257751554444
16	m016	958.4710417902097
17	m017	1183.127515312276
18	m018	1486.0269555092195
19	m019	1927.9333215129614
20	m020	2452.7872795862263
21	m021	3093.5112283778767
22	m022	4026.172362380925
23	m023	5031.433355317349
24	m024	6018.256610564973
25	m025	7420.402685125922
26	m026	9094.769142160783
27	m027	11101.201402681605
28	m028	13247.7075577022
29	m029	15532.793136136206
30	m030	18562.542125743443
31	m031	978.6460598832451
32	m032	1185.7002189103282
33	m033	1501.8970291657483
34	m034	1877.5793757625802
35	m035	2394.1464853471266
36	m036	3015.6744766303937
37	m037	3862.5639100084804
38	m038	4773.977480560628
39	m039	5914.320954851875
40	m040	7425.571585083535
41	m041	9298.908415593736
42	m042	11100.059785387824
43	m043	13280.332164430225
44	m044	16156.989665083036
45	m045	897.9090728136117
46	m046	1096.8506279785777
47	m047	1423.789459789965
48	m048	1777.432272605626
49	m049	2311.7709923366115
50	m050	2934.526745086676
51	m051	3821.193427307757
52	m052	4843.484793255781
53	m053	5832.436395881228
54	m054	7304.5840579323885
55	m055	8967.32021817555
56	m056	10909.282073977189
57	m057	12928.566508686143
58	m058	15752.652882257642
59	m059	19049.857783261796
60	m060	816.6694362255759
61	m061	1024.3001327814031
62	m062	1337.115163312794
63	m063	1771.795598301621
64	m064	2333.075095576651
65	m065	3016.194491444237
66	m066	3846.4640514342523
67	m067	4843.553109040924
68	m068	6068.445481752308
69	m069	7462.865937386254
70	m070	9054.31505426004
71	m071	10985.38354561187
72	m072	13586.710121600445
73	m073	16164.084173265122
74	m074	19470.322636649096
75	m075	356426.7957921935
76	m076	439268.12907746393
77	m077	394580.01136682025
78	m078	50407.992779121836
79	m079	41026.292841982446
80	m080	62489.08264785138
81	m081	136650.10704060938
82	m082	107508.48161075478
83	m083	436077.10243143927
