Number	Label	Degrees_Longitude	Degrees_Latitude
126	m126	-107.64036954375162	33.87484061638734
127	m127	-107.64045222404454	33.87563544326334
128	m128	-107.64068023194443	33.876742580331054
129	m129	-107.64056786507231	33.87738267315545
130	m130	-107.64023990764869	33.8781058495442
131	m131	-107.63982977675194	33.879383301210204
132	m132	-107.6405109553195	33.88018915334113
133	m133	-107.64073938574928	33.88111102227995
134	m134	-107.64091644287126	33.87500470118339
135	m135	-107.63940267512328	33.87463617355661
136	m136	-107.64127774927184	33.87623179279599
137	m137	-107.63931302949305	33.875605103828526
138	m138	-107.63978435010465	33.87681216504958
139	m139	-107.64125506671182	33.87795822735906
140	m140	-107.63977767383174	33.87799612023893
141	m141	-107.64104486825859	33.879044143118435
142	m142	-107.6393188174774	33.87880646058069
143	m143	-107.63956800086594	33.880102036456975
144	m144	-107.64154936399652	33.88113382160628
145	m145	-107.63972081628722	33.880440030121555
146	m146	-107.64124026467077	33.881784357015704
147	m147	-107.63974991181982	33.881143008427195
148	m148	-107.64236636081957	33.87538817285582
149	m149	-107.6389770501638	33.87533071853822
150	m150	-107.64169243272397	33.876369782060436
151	m151	-107.6386587269016	33.87626270592084
152	m152	-107.64213156886787	33.87730299266056
153	m153	-107.63870498296968	33.8771849436122
154	m154	-107.64235618771536	33.87839039329795
155	m155	-107.63823371123132	33.878151565621216
156	m156	-107.642144102209	33.879521144083064
157	m157	-107.63903050694825	33.879253411638814
158	m158	-107.64243189163433	33.88015033973388
159	m159	-107.63857955244082	33.880396682543186
160	m160	-107.64226658410952	33.88091502623425
161	m161	-107.63795004311737	33.881168296536536
162	m162	-107.64368724087844	33.875494349834916
163	m163	-107.63753951543858	33.87572645081245
164	m164	-107.64291020392156	33.876734421902526
165	m165	-107.63747339395827	33.87698599184129
166	m166	-107.64357542030726	33.877810562147964
167	m167	-107.63706658804978	33.87788455161653
168	m168	-107.64347868966462	33.878733032976164
169	m169	-107.63737622156103	33.87861135710394
170	m170	-107.64360798966992	33.87907967761282
171	m171	-107.63775799855652	33.87963724866165
172	m172	-107.64343972443949	33.88052310041754
173	m173	-107.63755666060129	33.8810607058006
174	m174	-107.64486107746671	33.876856495446425
175	m175	-107.63539828264287	33.876446572701234
176	m176	-107.64481368883592	33.87761171712159
177	m177	-107.63581983079222	33.87718525739956
178	m178	-107.64504194367028	33.87809156665652
179	m179	-107.63630337107647	33.8784912611864
180	m180	-107.64493868355704	33.87962456696094
181	m181	-107.63566142258696	33.879138335530094
182	m182	-107.6450543788227	33.88051469275201
183	m183	-107.63620251204341	33.879872152620706
184	m184	-107.64020850916881	33.87939326692107
185	m185	-107.63995112521533	33.87705988321281
186	m186	-107.6418880103929	33.87897626621583
187	m187	-107.63849193656061	33.87975059415054
188	m188	-107.63681797348816	33.87683975658018
189	m189	-107.64011507794685	33.875118808738925
190	m190	-107.64045882110558	33.88165084963535
191	m191	-107.64431534280136	33.87728084357369
192	m192	-107.64224603089943	33.87512462989462
193	m193	-107.64452118569874	33.878980172409456
194	m194	-107.6417843502594	33.88184866527322
195	m195	-107.63576592810209	33.87873449373691
196	m196	-107.63845355566345	33.88176377578654
197	m197	-107.64357728706362	33.88135071308172
198	m198	-107.63517553251205	33.87728229348931
199	m199	-107.63611299855346	33.8809468608178
200	m200	-107.63905347597803	33.882731683255784
201	m201	-107.64396607640701	33.87472424783592
202	m202	-107.64606331147853	33.87756108891685
203	m203	-107.6370372884693	33.88220591621832
204	m204	-107.64585217667221	33.88002644361479
205	m206	-107.63667544966307	33.87414575079808
206	m208	-107.64098889483536	33.872921080333924
207	m209	-107.64600017840588	33.881396907011876
208	m210	-107.643306296254	33.87317197902806
209	m211	-107.64655635481384	33.87520871209679
210	m213	-107.63364846358562	33.88067397324866
211	m212	-107.63440019595372	33.879429591460124
212	m207	-107.63402683638174	33.87490798146227
213	m205	-107.63807612841244	33.87325694652651
214	m214	-107.63657580798272	33.87260258103582
215	pn1	-119.62860475179622	48.99845578523777
216	pn2	-119.63483895455366	48.99509348041967
217	pn3	-119.64294794177603	48.99977140232732
218	pr1	-66.74668566359458	18.22410794458493
219	pr2	-66.74503675637222	18.22718622057313
220	pr3	-66.75558522081252	18.22718622057313
221	sc1	-64.58363071176284	17.639850958902556
222	sc2	-64.58382270481849	17.640732648172758
223	sc3	-64.58428010626092	17.63986164864741
224	nl1	-91.57459801382535	41.506177489420004
225	nl2	-91.57396554911571	41.50621934221983
226	nl3	-91.57473354031431	41.50659597065281
227	nl4	-91.57421402057074	41.50599335661516
228	ma1	-71.48907564767211	42.35054563731229
229	ma2	-71.48936929006014	42.34864640971347
230	ma3	-71.49307366848213	42.3491583848793
231	hn1	-71.98703145567148	42.660836492009096
232	hn2	-71.98651475781045	42.66103059165656
233	br1	-119.68415356494634	47.823858906525665
234	br2	-119.6833516964501	47.823492154659
235	ku1	-159.66645275177086	21.977126411680658
236	ku2	-159.66597669905957	21.978196541446778
237	ku3	-159.66443780701087	21.982935629521577
238	hi1	-155.80779050437707	19.846267330529656
239	hi2	-155.792113786939	19.84891412514358
240	hi3	-155.7865339387021	19.850154790690794
241	ov1	-118.27715199560393	36.99460857111938
242	ov2	-118.27721085203345	36.9959594500307
243	ov3	-118.27537126893938	36.99126622665025
244	ov4	-118.27877082804525	36.990532515950754
