name,part,lat,long
m001,Main Array,33.88522456517469,-107.64372935411765
m002,Main Array,33.88635471396512,-107.64647510722445
m003,Main Array,33.88764561050792,-107.65018980730203
m004,Main Array,33.88857208349047,-107.65576934283777
m005,Main Array,33.888747925439276,-107.66275362106221
m006,Main Array,33.88754504562176,-107.67190993790308
m007,Main Array,33.88484558338794,-107.68225076603208
m008,Main Array,33.87822341294914,-107.6943427333516
m009,Main Array,33.868899314635435,-107.70405676826398
m010,Main Array,33.85618616104253,-107.71754096009636
m011,Main Array,33.83451439237295,-107.72636013479037
m012,Main Array,33.81504758778564,-107.73312015716901
m013,Main Array,33.78401798699882,-107.73569212003221
m014,Main Array,33.749668375047484,-107.7258449439926
m015,Main Array,33.7115626442011,-107.70498953520432
m016,Main Array,33.87763290328672,-107.65059508052136
m017,Main Array,33.87586034926734,-107.65275262007694
m018,Main Array,33.87329238123347,-107.65523729231295
m019,Main Array,33.86898780494474,-107.65797534239015
m020,Main Array,33.86390860533004,-107.66053583675146
m021,Main Array,33.85650894779493,-107.6613042193505
m022,Main Array,33.84622358792327,-107.660809550099
m023,Main Array,33.83515083779145,-107.65717818705889
m024,Main Array,33.824689666638335,-107.65028371032813
m025,Main Array,33.811482039559756,-107.6376362211162
m026,Main Array,33.79779216338615,-107.6221881937551
m027,Main Array,33.786417089759134,-107.59300151639762
m028,Main Array,33.77893290512804,-107.56100499535611
m029,Main Array,33.77793822342605,-107.52323535573592
m030,Main Array,33.779617529615315,-107.47816544173119
m031,Main Array,33.86988447369178,-107.64399072706364
m032,Main Array,33.867650052014845,-107.64268708936937
m033,Main Array,33.86461407642854,-107.6402896265156
m034,Main Array,33.86152075295201,-107.6365435478741
m035,Main Array,33.857909680539834,-107.63133414335074
m036,Main Array,33.85485919891492,-107.62348561503622
m037,Main Array,33.85197895678078,-107.61273773386745
m038,Main Array,33.85194968582236,-107.59930441837417
m039,Main Array,33.85450436649597,-107.58290668286949
m040,Main Array,33.858197813416695,-107.56355552892059
m041,Main Array,33.86904147908459,-107.54021819113505
m042,Main Array,33.8846539505281,-107.52039480185977
m043,Main Array,33.90524642186656,-107.50031173464413
m044,Main Array,33.939377895619835,-107.48175959122848
m045,Main Array,33.87268655255659,-107.63304383688663
m046,Main Array,33.87309043065022,-107.63002431863202
m047,Main Array,33.874135699141036,-107.62559526296272
m048,Main Array,33.875952222664054,-107.62118345947326
m049,Main Array,33.87923685625113,-107.61526328485814
m050,Main Array,33.88423262811606,-107.60935721467591
m051,Main Array,33.89216385896817,-107.60252020695944
m052,Main Array,33.90338563371294,-107.59758575721801
m053,Main Array,33.91608460623603,-107.59676576700689
m054,Main Array,33.93294038073386,-107.59682882105092
m055,Main Array,33.95150641900251,-107.60026446292811
m056,Main Array,33.97322489395038,-107.61182995607564
m057,Main Array,33.99399882511615,-107.63112618436647
m058,Main Array,34.018220217229604,-107.6641110178216
m059,Main Array,34.04082878379967,-107.70404492066463
