name,part,lat,long
m117,Main Array,34.690047894348496,-102.09485014949436
m118,Main Array,31.554197113018994,-102.72332543241716
m119,Main Array,30.44528661513126,-103.94588663733458
m120,Main Array,35.55842342766768,-106.24614125453115
m121,Main Array,33.879112204023514,-107.64010722978664
m122,Main Array,33.87701904764535,-107.64028871911763
m123,Main Array,33.87896211302821,-107.6415568378183
m124,Main Array,33.877645887660165,-107.64221344009708
m125,Main Array,33.87731014485838,-107.63804345679577
m126,Main Array,33.87484061638734,-107.64036954375162
m127,Main Array,33.87563544326334,-107.64045222404454
m128,Main Array,33.876742580331054,-107.64068023194443
m129,Main Array,33.87738267315545,-107.64056786507231
m130,Main Array,33.8781058495442,-107.64023990764869
m131,Main Array,33.879383301210204,-107.63982977675194
m132,Main Array,33.88018915334113,-107.6405109553195
m133,Main Array,33.88111102227995,-107.64073938574928
m134,Main Array,33.87500470118339,-107.64091644287126
m135,Main Array,33.87463617355661,-107.63940267512328
m136,Main Array,33.87623179279599,-107.64127774927184
m137,Main Array,33.875605103828526,-107.63931302949305
m138,Main Array,33.87681216504958,-107.63978435010465
m139,Main Array,33.87795822735906,-107.64125506671182
m140,Main Array,33.87799612023893,-107.63977767383174
m141,Main Array,33.879044143118435,-107.64104486825859
m142,Main Array,33.87880646058069,-107.6393188174774
m143,Main Array,33.880102036456975,-107.63956800086594
m144,Main Array,33.88113382160628,-107.64154936399652
m145,Main Array,33.880440030121555,-107.63972081628722
m146,Main Array,33.881784357015704,-107.64124026467077
m147,Main Array,33.881143008427195,-107.63974991181982
m148,Main Array,33.87538817285582,-107.64236636081957
m149,Main Array,33.87533071853822,-107.6389770501638
m150,Main Array,33.876369782060436,-107.64169243272397
m151,Main Array,33.87626270592084,-107.6386587269016
m152,Main Array,33.87730299266056,-107.64213156886787
m153,Main Array,33.8771849436122,-107.63870498296968
m154,Main Array,33.87839039329795,-107.64235618771536
m155,Main Array,33.878151565621216,-107.63823371123132
m156,Main Array,33.879521144083064,-107.642144102209
m157,Main Array,33.879253411638814,-107.63903050694825
m158,Main Array,33.88015033973388,-107.64243189163433
m159,Main Array,33.880396682543186,-107.63857955244082
m160,Main Array,33.88091502623425,-107.64226658410952
m161,Main Array,33.881168296536536,-107.63795004311737
m162,Main Array,33.875494349834916,-107.64368724087844
m163,Main Array,33.87572645081245,-107.63753951543858
m164,Main Array,33.876734421902526,-107.64291020392156
m165,Main Array,33.87698599184129,-107.63747339395827
m166,Main Array,33.877810562147964,-107.64357542030726
m167,Main Array,33.87788455161653,-107.63706658804978
m168,Main Array,33.878733032976164,-107.64347868966462
m169,Main Array,33.87861135710394,-107.63737622156103
m170,Main Array,33.87907967761282,-107.64360798966992
m171,Main Array,33.87963724866165,-107.63775799855652
m172,Main Array,33.88052310041754,-107.64343972443949
m173,Main Array,33.8810607058006,-107.63755666060129
m174,Main Array,33.876856495446425,-107.64486107746671
m175,Main Array,33.876446572701234,-107.63539828264287
m176,Main Array,33.87761171712159,-107.64481368883592
m177,Main Array,33.87718525739956,-107.63581983079222
m178,Main Array,33.87809156665652,-107.64504194367028
m179,Main Array,33.8784912611864,-107.63630337107647
m180,Main Array,33.87962456696094,-107.64493868355704
m181,Main Array,33.879138335530094,-107.63566142258696
m182,Main Array,33.88051469275201,-107.6450543788227
m183,Main Array,33.879872152620706,-107.63620251204341
m184,Main Array,33.87939326692107,-107.64020850916881
m185,Main Array,33.87705988321281,-107.63995112521533
m186,Main Array,33.87897626621583,-107.6418880103929
m187,Main Array,33.87975059415054,-107.63849193656061
m188,Main Array,33.87683975658018,-107.63681797348816
m189,Main Array,33.875118808738925,-107.64011507794685
m190,Main Array,33.88165084963535,-107.64045882110558
m191,Main Array,33.87728084357369,-107.64431534280136
m192,Main Array,33.87512462989462,-107.64224603089943
m193,Main Array,33.878980172409456,-107.64452118569874
m194,Main Array,33.88184866527322,-107.6417843502594
m195,Main Array,33.87873449373691,-107.63576592810209
m196,Main Array,33.88176377578654,-107.63845355566345
m197,Main Array,33.88135071308172,-107.64357728706362
m198,Main Array,33.87728229348931,-107.63517553251205
m199,Main Array,33.8809468608178,-107.63611299855346
m200,Main Array,33.882731683255784,-107.63905347597803
m201,Main Array,33.87472424783592,-107.64396607640701
m202,Main Array,33.87756108891685,-107.64606331147853
m203,Main Array,33.88220591621832,-107.6370372884693
m204,Main Array,33.88002644361479,-107.64585217667221
m206,Main Array,33.87414575079808,-107.63667544966307
m208,Main Array,33.872921080333924,-107.64098889483536
m209,Main Array,33.881396907011876,-107.64600017840588
m210,Main Array,33.87317197902806,-107.643306296254
m211,Main Array,33.87520871209679,-107.64655635481384
m213,Main Array,33.88067397324866,-107.63364846358562
m212,Main Array,33.879429591460124,-107.63440019595372
m207,Main Array,33.87490798146227,-107.63402683638174
m205,Main Array,33.87325694652651,-107.63807612841244
m214,Main Array,33.87260258103582,-107.63657580798272
pn1,LBA,48.99845578523777,-119.62860475179622
pn2,LBA,48.99509348041967,-119.63483895455366
pn3,LBA,48.99977140232732,-119.64294794177603
pr1,LBA,18.22410794458493,-66.74668566359458
pr2,LBA,18.22718622057313,-66.74503675637222
pr3,LBA,18.22718622057313,-66.75558522081252
sc1,LBA,17.639850958902556,-64.58363071176284
sc2,LBA,17.640732648172758,-64.58382270481849
sc3,LBA,17.63986164864741,-64.58428010626092
nl1,LBA,41.506177489420004,-91.57459801382535
nl2,LBA,41.50621934221983,-91.57396554911571
nl3,LBA,41.50659597065281,-91.57473354031431
nl4,LBA,41.50599335661516,-91.57421402057074
ma1,LBA,42.35054563731229,-71.48907564767211
ma2,LBA,42.34864640971347,-71.48936929006014
ma3,LBA,42.3491583848793,-71.49307366848213
hn1,LBA,42.660836492009096,-71.98703145567148
hn2,LBA,42.66103059165656,-71.98651475781045
br1,LBA,47.823858906525665,-119.68415356494634
br2,LBA,47.823492154659,-119.6833516964501
ku1,LBA,21.977126411680658,-159.66645275177086
ku2,LBA,21.978196541446778,-159.66597669905957
ku3,LBA,21.982935629521577,-159.66443780701087
hi1,LBA,19.846267330529656,-155.80779050437707
hi2,LBA,19.84891412514358,-155.792113786939
hi3,LBA,19.850154790690794,-155.7865339387021
ov1,LBA,36.99460857111938,-118.27715199560393
ov2,LBA,36.9959594500307,-118.27721085203345
ov3,LBA,36.99126622665025,-118.27537126893938
ov4,LBA,36.990532515950754,-118.27877082804525
s001,SBA,33.87758979518099,-107.63946542984402
s002,SBA,33.87770873205562,-107.63926533626619
s003,SBA,33.87758317315463,-107.63923834283534
s004,SBA,33.87744781125786,-107.63924689880783
s005,SBA,33.877333116293556,-107.63922316702866
s006,SBA,33.877656913558845,-107.63937033452355
s007,SBA,33.8776993508387,-107.63949485536526
s008,SBA,33.87727547672204,-107.63936970180586
s009,SBA,33.8775061650852,-107.63959533201711
s010,SBA,33.87739066934176,-107.63960082654371
s011,SBA,33.87770064927697,-107.63914048219141
s012,SBA,33.8775187923696,-107.63934804251701
s013,SBA,33.87756020165215,-107.63910532576881
s014,SBA,33.877389338447365,-107.63936935376546
s015,SBA,33.87746060083797,-107.63947883945325
s016,SBA,33.877614281534555,-107.63958234697478
s017,SBA,33.87745602385604,-107.63911854500702
s018,SBA,33.87777486587713,-107.63937965239151
s019,SBA,33.87736037256403,-107.63948709175799
