Number,Name,x,y
188,m188,316.255,-140.94
189,m189,11.5367,-332.514
190,m190,-20.232,394.626
191,m191,-376.651,-91.8388
192,m192,-185.406,-331.866
193,m193,-395.675,97.3287
194,m194,-142.737,416.647
195,m195,413.485,69.98
196,m196,165.094,407.197
197,m197,-308.44,361.215
198,m198,468.049,-91.6774
199,m199,381.408,316.259
200,m200,109.65,514.943
201,m201,-344.372,-376.437
202,m202,-538.198,-60.6422
203,m203,295.986,456.415
204,m204,-518.685,213.799
205,m206,329.427,-440.834
206,m208,-69.2213,-577.163
207,m209,-532.364,366.357
208,m210,-283.395,-549.234
209,m211,-583.765,-322.506
210,m213,609.181,285.881
211,m212,539.705,147.358
212,m207,574.211,-355.983
213,m205,199.976,-539.775
214,m214,338.636,-612.618
215,pn1,-1.10796e+06,1.68318e+06
216,pn2,-1.10854e+06,1.68281e+06
217,pn3,-1.10929e+06,1.68333e+06
218,pr1,3.77938e+06,-1.74259e+06
219,pr2,3.77953e+06,-1.74224e+06
220,pr3,3.77856e+06,-1.74224e+06
221,sc1,3.97929e+06,-1.80763e+06
222,sc2,3.97927e+06,-1.80753e+06
223,sc3,3.97923e+06,-1.80763e+06
224,nl1,1.48478e+06,849149
225,nl2,1.48484e+06,849154
226,nl3,1.48477e+06,849196
227,nl4,1.48482e+06,849129
228,ma1,3.34109e+06,943144
229,ma2,3.34106e+06,942932
230,ma3,3.34072e+06,942989
231,hn1,3.29507e+06,977685
232,hn2,3.29511e+06,977706
233,br1,-1.1131e+06,1.55243e+06
234,br2,-1.11302e+06,1.55239e+06
235,ku1,-4.80826e+06,-1.32481e+06
236,ku2,-4.80821e+06,-1.32469e+06
237,ku3,-4.80807e+06,-1.32416e+06
238,hi1,-4.45164e+06,-1.56201e+06
239,hi2,-4.45019e+06,-1.56172e+06
240,hi3,-4.44968e+06,-1.56158e+06
241,ov1,-983062,346926
242,ov2,-983068,347076
243,ov3,-982898,346554
244,ov4,-983212,346472
245,s001,71.5772,-57.4467
246,s002,90.0698,-44.2067
247,s003,92.5645,-58.1838
248,s004,91.7738,-73.2522
249,s005,93.9671,-86.0199
250,s006,80.3659,-49.9751
251,s007,68.8576,-45.251
252,s008,80.4243,-92.4363
253,s009,59.5716,-66.7563
254,s010,59.0638,-79.6131
255,s011,101.609,-45.1065
256,s012,82.4261,-65.3506
257,s013,104.858,-60.741
258,s014,80.4565,-79.7613
259,s015,70.3378,-71.8284
260,s016,60.7717,-54.7209
261,s017,103.636,-72.3379
262,s018,79.5047,-36.8448
263,s019,69.5752,-82.9858
