name,lat,long
spa001,33.90019350400899,-107.63442259998979
spa002,33.90739305020767,-107.6391923999523
spa003,33.915016829015876,-107.64649710006292
spa004,33.92270534374977,-107.65673740002697
spa005,33.929526210916244,-107.67218759998521
spa006,33.9342141931458,-107.69127399997973
spa007,33.93503628872171,-107.71486889998225
spa008,33.93266638978225,-107.74241389997444
spa009,33.92692334916281,-107.77691289994704
spa010,33.908958241788845,-107.81187630003575
spa011,33.87777682240894,-107.85114049997841
spb001,33.87946464146291,-107.61526249997277
spb002,33.88484130727274,-107.60935100004114
spb003,33.893382982516144,-107.60250909995622
spb004,33.907297716901724,-107.59765429998178
spb005,33.91912155529556,-107.59675589997224
spb006,33.937261514597694,-107.59682319997492
spb007,33.957252328857905,-107.6002640999699
spb008,33.980598725242025,-107.6118330000457
spb009,34.00297093693203,-107.63112400003729
spb010,34.02908165981996,-107.66408389997926
spb011,34.051332524631526,-107.70263279997116
spc001,33.85648041001743,-107.63135280002064
spc002,33.85319974121447,-107.62349459995112
spc003,33.850174198010045,-107.61273259996591
spc004,33.850122238295846,-107.59928139997483
spc005,33.85286424023997,-107.58286289999728
spc006,33.85684569143365,-107.56348910004166
spc007,33.86851540775589,-107.54013250002656
spc008,33.88532684109248,-107.5203048999802
spc009,33.907498442672264,-107.50023080001164
spc010,33.944308865157424,-107.48171860002745
spd001,33.8629764114962,-107.66058819996121
spd002,33.85501242538135,-107.6613613000558
spd003,33.84393500506384,-107.66087130003238
spd004,33.83201794444132,-107.65723999995328
spd005,33.82078474415398,-107.6503388999744
spd006,33.80656432195603,-107.63767359997728
spd007,33.79180074765939,-107.62219819999598
spd008,33.77972225651504,-107.59294960001232
spd009,33.7714833695892,-107.56087969995647
spd010,33.77047781545802,-107.52597410003334
spd011,33.76941195517163,-107.47761529999882
spe001,33.88970881929986,-107.66279560001448
spe002,33.88841821369582,-107.67196080000689
spe003,33.88551792823013,-107.68231310000355
spe004,33.8784046934401,-107.69442229999437
spe005,33.86837109095829,-107.70415569994688
spe006,33.85180424576118,-107.71743909995233
spe007,33.83138294261049,-107.72652789994922
spe008,33.8104497673931,-107.73332449998621
spe009,33.77704980207171,-107.73288089998533
spe010,33.740080707593876,-107.72611990003523
spe011,33.698993143482895,-107.70525110005295
