name,lat,long
cor001,33.8775465083457,-107.64217139998786
cor002,33.878365567934864,-107.63970309997875
cor003,33.87687344682496,-107.64081220002349
cor004,33.87949441386662,-107.64112420002836
cor005,33.87895681986649,-107.63971409997733
cor006,33.8771293861726,-107.64259449995957
cor007,33.8788193039257,-107.64255310005235
cor008,33.87752444251192,-107.64101979996482
cor009,33.876355512231086,-107.64112140004816
cor010,33.878461299126194,-107.64153380001446
cor011,33.87821063007156,-107.64194359996965
cor012,33.87842155282807,-107.64038740002216
cor013,33.87845004243236,-107.64081229998844
cor014,33.87715188958332,-107.64032740000376
cor015,33.880042707648265,-107.6400594000381
cor016,33.87990697167727,-107.6421735999937
cor017,33.877034192077,-107.64132099999873
cor018,33.87576433977994,-107.63997189996105
cor019,33.87571343632664,-107.64052300004646
cor020,33.875583060245006,-107.6418032000391
cor021,33.87982570912758,-107.63919250001383
cor022,33.876610009642945,-107.63798319999766
cor023,33.87530176363262,-107.64090199999846
cor024,33.87739531935708,-107.64292619998234
cor025,33.878037991782534,-107.63903239994588
cor026,33.87878875593078,-107.64299109996114
cor027,33.87844602502914,-107.6389792000472
cor028,33.87684934252921,-107.63888970000876
cor029,33.876476958637305,-107.63932020001442
cor030,33.8759590140066,-107.6417904999656
cor031,33.87631085359495,-107.64258719998824
cor032,33.87983285883169,-107.64487259997456
cor033,33.881397392432405,-107.64207859996354
cor034,33.878315022491726,-107.64599919996417
cor035,33.881658154554756,-107.64055309999712
cor036,33.87384259702113,-107.63917479999866
cor037,33.87622512607966,-107.63642090002487
cor038,33.87586256695212,-107.64625480003505
cor039,33.88208947680927,-107.6438300999895
cor040,33.875383026202506,-107.64251089993881
cor041,33.875775059443804,-107.63879810003115
cor042,33.87990697167727,-107.63792649999841
cor043,33.87828430533818,-107.64451190001736
cor044,33.87868195700544,-107.63710680000214
cor045,33.875027616707925,-107.64056880003314
cor046,33.88090088711662,-107.63896459996208
cor047,33.876091180093155,-107.64435199996744
cor048,33.88070978283474,-107.63568469996808
cor049,33.874440909200146,-107.64590920000367
cor050,33.87319339130576,-107.6418629999945
cor051,33.881093771406924,-107.65012609998332
cor052,33.874397274803805,-107.63215490001735
cor053,33.88307723693282,-107.64867380000756
cor054,33.871242224155154,-107.64577419997384
cor055,33.87775345342376,-107.63158119999869
cor056,33.885529722377115,-107.64125319996764
cor057,33.88021359575135,-107.63225379997634
cor058,33.885048759597524,-107.63877820001358
cor059,33.85899529780931,-107.63651850000741
cor060,33.8958022808431,-107.63186930001523
cor061,33.89592083358417,-107.64855750003505
cor062,33.88580838384081,-107.65873199999476
cor063,33.86564632284527,-107.62920700001494
cor064,33.87564574731258,-107.62236509998225
cor065,33.88989250533171,-107.64719330001303
cor066,33.8907793833408,-107.64327890002521
cor067,33.873500138191766,-107.62652679996471
cor068,33.862491197049444,-107.64206809998862
cor069,33.863494022367085,-107.64710890000336
cor070,33.87951531624333,-107.65968310003065
cor071,33.88316681268341,-107.62348170002959
cor072,33.88603330778697,-107.65679910003118
cor073,33.89231195691261,-107.62636089995779
cor074,33.89494693532386,-107.63554430003575
cor075,33.8919481447182,-107.65344610002569
cor076,33.8622263634595,-107.64968830003204
cor077,33.86731248073725,-107.62466730001267
cor078,33.86695617982398,-107.65637230003681
cor079,33.870344704157965,-107.62368799998518
cor080,33.89082390269664,-107.62822750003954
cor081,33.88876157108834,-107.63077870003231
cor082,33.87697935070997,-107.62516360000818
cor083,33.88470200143443,-107.62740430000903
cor084,33.879090179227354,-107.65114479997406
cor085,33.87114936681883,-107.63515879996703
cor086,33.87011073319092,-107.64434860005001
cor087,33.88317474805663,-107.65466309997615
cor088,33.88906398886169,-107.64305479997974
cor089,33.86706590218607,-107.6396616000585
cor090,33.86914512847744,-107.63435140005429
cor091,33.87973641172714,-107.65316020002045
cor092,33.88225330458916,-107.6298660999477
cor093,33.87007108631631,-107.64860340002916
cor094,33.87775777906546,-107.65322959997351
cor095,33.870959893334415,-107.63990660000046
cor096,33.874765641372,-107.63343539996423
cor097,33.87331554374623,-107.63484510003856
cor098,33.87200239523843,-107.63722319997449
cor099,33.88407308148528,-107.64209809995864
cor100,33.87753741940287,-107.65634590001322
cor101,33.86597767763259,-107.64577630000292
cor102,33.890984916431336,-107.65059309997768
cor103,33.86455444366976,-107.63646260006159
cor104,33.86803008036089,-107.62698069996816
cor105,33.892310047665,-107.63918669998706
cor106,33.86708425884415,-107.65217090000182
cor107,33.874189046944764,-107.6574980999778
cor108,33.890995029486376,-107.6347984000119
cor109,33.87074844360967,-107.65521829999444
cor110,33.88319293569286,-107.65060770003427
cor111,33.8862003873949,-107.63567579996338
cor112,33.86973326787281,-107.63657310001568
cor113,33.87510167982828,-107.65104410000961
cor114,33.88625606393316,-107.64442989999415
