name,lat,long
mda001,33.80396926383584,-107.35805280004374
mda002,33.49100208569505,-107.25896670003672
mda003,33.66725052824829,-106.46957499996702
mda004,33.004911869003315,-106.05416109999206
mda005,32.85498776853628,-105.5500360999743
mda006,32.6248228610489,-104.59499440001252
mda007,32.71773794862856,-103.25828059998733
mda008,32.90685576292942,-102.2444666999592
mda009,33.26265799203088,-101.2050417000384
mda010,35.5595324152462,-106.2455980999789
mdb001,33.613548388555024,-107.69871670003324
mdb002,33.40662560624863,-107.60898610004766
mdb003,33.08043276526452,-107.44833890005427
mdb004,32.539218430477185,-107.26057499996274
mdb005,32.04936281684987,-106.62121110003032
mdb006,31.550681798478465,-106.0278388999598
mdb007,30.922899106739678,-105.37733889997024
mdb008,30.44665891217516,-103.94472779997531
mdb009,30.658744748208846,-102.46701669997049
mdc001,33.69138198174182,-107.87893889999042
mdc002,33.43157194518329,-107.96147219998697
mdc003,33.21952743675495,-108.11644439999945
mdc004,32.71064297811804,-108.58916939995623
mdc005,32.297442129540684,-108.73212220001815
mdc006,31.757167678101332,-108.56505829997235
mdc007,31.26140305333292,-108.4901944000409
mdc008,30.037862879223283,-107.69096389997272
mdc009,29.140202619978062,-106.39547220000661
mdd001,33.832617325713116,-107.9524166999624
mdd002,33.72562293287877,-108.29109719996931
mdd003,33.57315959763349,-108.71246109996873
mdd004,33.31212691871751,-109.31296940000297
mdd005,32.65633224356108,-109.7131388999942
mdd006,32.07903591649,-109.7872027999779
mdd007,31.21702481784201,-109.7839221999906
mdd008,29.885221232131087,-109.78839440000841
mdd009,28.24090844718296,-108.35996670001677
mde001,34.06787789505023,-107.8102166999728
mde002,34.09267015718347,-108.11719720005249
mde003,34.557804265353774,-108.6722721999551
mde004,33.98172478102379,-109.3159611000295
mde005,33.92161717666771,-110.09978889994649
mde006,33.436629501716695,-110.57347780002713
mde007,32.58602663005473,-111.09211109996077
mde008,31.76193045031752,-111.61251940001635
mde009,30.505654335823145,-112.06327779997522
