name,lat,long
sba001,33.878594121452046,-107.63277630003817
sba002,33.878796601736276,-107.63266290000941
sba003,33.878701288270804,-107.63257629999656
sba004,33.87857980201779,-107.6325156999817
sba005,33.878492274735066,-107.63243750006308
sba006,33.87869952810889,-107.63272769999301
sba007,33.87867435986426,-107.63285689993963
sba008,33.87836950580432,-107.63253539999664
sba009,33.87845710275279,-107.63284679996234
sba010,33.87835435107273,-107.63279350002493
sba011,33.87885168167216,-107.6325506999964
sba012,33.878590998999954,-107.63263899998535
sba013,33.878747527943865,-107.63244959994594
sba014,33.87846828976408,-107.63259230001051
sba015,33.87847555881186,-107.63272300001681
sba016,33.878557189377,-107.63288990001216
sba017,33.87865073278221,-107.63240870001113
sba018,33.87879704927042,-107.63279510005448
sba019,33.8783846604304,-107.63267969998114
